ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	K5	K6	K7	Data
180	GRSMT2	[GRSMT2-001]	50	35.5667	-83.18	Flatt Creek	0.132	0.004	0.014	0.004	0.831	0.004	0.011	13.2-0.4-1.4-0.4-83.1-0.4-1.1
181	GRSMT22	[GS36-001]	28	35.61986728	-83.23039471	Hyatt Creek	0.005	0.007	0.009	0.003	0.946	0.026	0.005	0.5-0.7-0.9-0.3-94.6-2.6-0.5
182	GRSMT23	[GS40-001]	29	35.58476105	-83.42515628	RF Deep Creek	0.005	0.012	0.005	0.004	0.961	0.004	0.009	0.5-1.2-0.5-0.4-96.1-0.4-0.9
183	GRSMT24	[GS41-001]	30	35.58503691	-83.42667635	Sahlee Creek	0.009	0.003	0.005	0.003	0.965	0.003	0.012	0.9-0.3-0.5-0.3-96.5-0.3-1.2
184	GRSMT25	[GS42-001]	30	35.55528252	-83.47670642	Noland Creek	0.010	0.004	0.032	0.006	0.915	0.004	0.029	1-0.4-3.2-0.6-91.5-0.4-2.9
185	GRSMT26	[GS44-001]	31	35.49706343	-83.65659546	Cold Springs Branch	0.005	0.003	0.003	0.002	0.977	0.004	0.005	0.5-0.3-0.3-0.2-97.7-0.4-0.5
186	GRSMT27	[GS45-001]	30	35.51194438	-83.69720183	Haw Gap Branch	0.012	0.005	0.018	0.01	0.941	0.004	0.01	1.2-0.5-1.8-1-94.1-0.4-1
187	GRSMT28	[GS46-001]	29	35.54112558	-83.67636608	Desolation Branch	0.010	0.003	0.009	0.004	0.960	0.004	0.01	1-0.3-0.9-0.4-96-0.4-1
188	GRSMT29	[GS47-001]	30	35.54053482	-83.6708987	Defeat Branch	0.015	0.004	0.024	0.005	0.928	0.005	0.019	1.5-0.4-2.4-0.5-92.8-0.5-1.9
189	GRSMT3	[GRSMT3-001]	40	35.5341	-83.5446	Huggin's Creek	0.056	0.025	0.084	0.004	0.652	0.161	0.018	5.6-2.5-8.4-0.4-65.2-16.1-1.8
190	GRSMT30	[GS49-002]	30	35.62001761	-83.33050789	Louie Camp Branch	0.008	0.006	0.008	0.008	0.947	0.012	0.011	0.8-0.6-0.8-0.8-94.7-1.2-1.1
191	GRSMT31	[GS50-002]	30	35.61226789	-83.26422737	Enloe Creek	0.014	0.034	0.02	0.01	0.892	0.016	0.015	1.4-3.4-2-1-89.2-1.6-1.5
192	GRSMT32	[GS51-002]	30	35.62431103	-83.32617226	Bearwallow Branch	0.025	0.003	0.005	0.005	0.954	0.003	0.005	2.5-0.3-0.5-0.5-95.4-0.3-0.5
193	GRSMT33	[GS52-002]	30	35.63332387	-83.32996679	Chasm Prong	0.005	0.004	0.008	0.007	0.966	0.004	0.006	0.5-0.4-0.8-0.7-96.6-0.4-0.6
194	GRSMT34	[GS53-001]	30	35.64340742	-83.25582982	R. Fork Raven Fork	0.011	0.006	0.011	0.009	0.944	0.009	0.011	1.1-0.6-1.1-0.9-94.4-0.9-1.1
195	GRSMT35	[GS54-002]	30	35.64491771	-83.32894523	Gulf Prong	0.005	0.006	0.023	0.011	0.939	0.011	0.005	0.5-0.6-2.3-1.1-93.9-1.1-0.5
197	GRSMT5	[GRSMT5-001]	47	35.4858	-83.5926	Bear Creek	0.039	0.022	0.071	0.003	0.735	0.099	0.032	3.9-2.2-7.1-0.3-73.5-9.9-3.2
198	GRSMT6	[GRSMT6-001]	25	35.58628	-83.36516	Kanati Fork	0.006	0.004	0.005	0.004	0.970	0.002	0.008	0.6-0.4-0.5-0.4-97-0.2-0.8
199	GRSMT7	[GRSMT7-001]	22	35.59933	-83.39906	Aden Branch	0.005	0.003	0.004	0.002	0.974	0.003	0.009	0.5-0.3-0.4-0.2-97.4-0.3-0.9
200	L2S1	[FC_2014_238]	50	35.57905	-83.578	Lean-to Site 1	0.970	0.002	0.008	0.003	0.005	0.003	0.009	97-0.2-0.8-0.3-0.5-0.3-0.9
201	LRS1	[LR_2013_001]	30	35.592602	-83.511766	Little River Site 1	0.967	0.003	0.011	0.003	0.006	0.004	0.006	96.7-0.3-1.1-0.3-0.6-0.4-0.6
202	LTGA11	[GA11-001]	30	34.946254	-83.453083	Keener Creek	0.015	0.004	0.003	0.003	0.961	0.003	0.012	1.5-0.4-0.3-0.3-96.1-0.3-1.2
203	LTNC10	[WRC113-001]	20	35.0511015	-83.308477	UT Tessentee Creek	0.004	0.005	0.004	0.005	0.881	0.096	0.004	0.4-0.5-0.4-0.5-88.1-9.6-0.4
204	LTNC100	[WRC091-001]	20	35.2377037	-84.0580182	(A) Tipton Creek (incl. trib.)	0.025	0.009	0.02	0.015	0.783	0.113	0.035	2.5-0.9-2-1.5-78.3-11.3-3.5
205	LTNC101	[WRC092-001]	20	35.0634056	-83.2739161	Bennies Branch	0.012	0.027	0.007	0.004	0.623	0.318	0.009	1.2-2.7-0.7-0.4-62.3-31.8-0.9
206	LTNC102	[WRC093-001]	20	35.089675	-83.189961	Big Creek	0.018	0.135	0.008	0.009	0.346	0.465	0.021	1.8-13.5-0.8-0.9-34.6-46.5-2.1
207	LTNC103	[WRC095-001]	20	35.1016582	-83.2430469	Brush Creek	0.008	0.008	0.025	0.005	0.340	0.561	0.053	0.8-0.8-2.5-0.5-34-56.1-5.3
208	LTNC104	[WRC096-001]	20	35.2257112	-83.2384502	Bryson Branch	0.008	0.009	0.003	0.003	0.953	0.018	0.006	0.8-0.9-0.3-0.3-95.3-1.8-0.6
209	LTNC105	[WRC098-001]	20	35.1037626	-83.2902498	Crow Creek	0.015	0.006	0.009	0.004	0.111	0.834	0.021	1.5-0.6-0.9-0.4-11.1-83.4-2.1
211	LTNC107	[WRC380A-001]	33	35.2204377	-83.0327662	Flat Creek (above falls)	0.016	0.067	0.524	0.018	0.096	0.131	0.147	1.6-6.7-52.4-1.8-9.6-13.1-14.7
212	LTNC108	[WRC381-001]	19	35.2568349	-82.9362342	Pinhook Creek (below falls)	0.016	0.009	0.271	0.005	0.662	0.004	0.032	1.6-0.9-27.1-0.5-66.2-0.4-3.2
213	LTNC109	[D901-001]	35	35.289958	-83.293475	Bettys Branch	0.005	0.003	0.003	0.003	0.981	0.002	0.003	0.5-0.3-0.3-0.3-98.1-0.2-0.3
214	LTNC11	[WRC293-001]	20	35.1970383	-82.9847656	Bracken Creek	0.108	0.078	0.285	0.039	0.014	0.469	0.007	10.8-7.8-28.5-3.9-1.4-46.9-0.7
215	LTNC110	[D902-001]	20	35.282125	-83.265064	Tatham Creek	0.006	0.003	0.006	0.003	0.968	0.008	0.006	0.6-0.3-0.6-0.3-96.8-0.8-0.6
216	LTNC111	[D903-001]	30	35.248756	-83.267727	Shell Branch	0.005	0.004	0.006	0.003	0.971	0.008	0.004	0.5-0.4-0.6-0.3-97.1-0.8-0.4
217	LTNC112	[D906-001]	39	35.302122	-83.372431	Huckleberry Creek	0.010	0.003	0.008	0.004	0.947	0.013	0.014	1-0.3-0.8-0.4-94.7-1.3-1.4
218	LTNC113	[D907-001]	36	35.302543	-83.341682	Beasley Creek	0.006	0.004	0.005	0.004	0.911	0.067	0.003	0.6-0.4-0.5-0.4-91.1-6.7-0.3
219	LTNC12	[WRC295-001]	20	35.2826209	-82.9853557	Charley Creek	0.016	0.068	0.014	0.023	0.792	0.068	0.019	1.6-6.8-1.4-2.3-79.2-6.8-1.9
220	LTNC13	[WRC296-001]	20	35.2201	-82.95806	Cold Creek	0.022	0.059	0.017	0.03	0.355	0.472	0.045	2.2-5.9-1.7-3-35.5-47.2-4.5
221	LTNC14	[WRC302-001]	20	35.2028632	-83.1893383	Gem Creek	0.018	0.029	0.009	0.028	0.723	0.182	0.012	1.8-2.9-0.9-2.8-72.3-18.2-1.2
222	LTNC15	[WRC306-001]	20	35.2788805	-83.0250111	Jeff Creek	0.013	0.004	0.005	0.002	0.967	0.003	0.006	1.3-0.4-0.5-0.2-96.7-0.3-0.6
223	LTNC16	[WRC308-001]	20	35.2016225	-83.2125065	Little Pine Creek	0.008	0.015	0.007	0.005	0.455	0.503	0.007	0.8-1.5-0.7-0.5-45.5-50.3-0.7
224	LTNC17	[WRC310-001]	20	35.2564608	-83.1336517	Mill Creek	0.009	0.045	0.023	0.011	0.806	0.098	0.008	0.9-4.5-2.3-1.1-80.6-9.8-0.8
225	LTNC18	[WRC311-001]	20	35.167814	-83.1852347	Mill Creek	0.014	0.011	0.005	0.005	0.424	0.528	0.012	1.4-1.1-0.5-0.5-42.4-52.8-1.2
226	LTNC19	[WRC318-001]	20	35.2766748	-83.0144098	Sols Creek	0.015	0.031	0.017	0.011	0.551	0.364	0.012	1.5-3.1-1.7-1.1-55.1-36.4-1.2
227	LTNC2	[NC02-001]	42	35.48692	-83.18631	Soco Creek	0.006	0.004	0.004	0.002	0.976	0.003	0.005	0.6-0.4-0.4-0.2-97.6-0.3-0.5
229	LTNC21	[WRC322-001]	20	35.2096888	-83.1164218	Trout Creek	0.022	0.102	0.059	0.05	0.029	0.725	0.013	2.2-10.2-5.9-5-2.9-72.5-1.3
230	LTNC22	[WRC119-001]	20	35.2551992	-83.5906381	UT Otter Creek	0.095	0.013	0.006	0.013	0.849	0.014	0.01	9.5-1.3-0.6-1.3-84.9-1.4-1
231	LTNC23	[WRC022-001]	20	35.254525	-83.966819	(C) Sassafras Creek (incl. trib.)	0.034	0.004	0.024	0.003	0.916	0.003	0.015	3.4-0.4-2.4-0.3-91.6-0.3-1.5
232	LTNC24	[WRC120-001]	20	35.023508	-83.487356	Yellow Patch Branch	0.075	0.133	0.048	0.016	0.414	0.156	0.157	7.5-13.3-4.8-1.6-41.4-15.6-15.7
233	LTNC25	[WRC023-001]	20	35.2455342	-83.8856125	Bear Creek	0.007	0.005	0.008	0.003	0.963	0.009	0.005	0.7-0.5-0.8-0.3-96.3-0.9-0.5
234	LTNC26	[WRC025-001]	20	35.3259869	-83.9640204	Wright Creek	0.007	0.02	0.075	0.004	0.481	0.082	0.331	0.7-2-7.5-0.4-48.1-8.2-33.1
235	LTNC27	[NC04-001]	40	35.5288	-83.1922	Madcap Branch	0.005	0.003	0.003	0.003	0.976	0.002	0.008	0.5-0.3-0.3-0.3-97.6-0.2-0.8
236	LTNC28	[NC05-001]	39	35.4902	-83.2151	Jenkin's Creek	0.056	0.012	0.015	0.005	0.869	0.035	0.009	5.6-1.2-1.5-0.5-86.9-3.5-0.9
237	LTNC29	[NC06-001]	24	35.4995	-83.1746	Rough Branch	0.032	0.008	0.009	0.003	0.823	0.118	0.008	3.2-0.8-0.9-0.3-82.3-11.8-0.8
238	LTNC3	[NC03-001]	40	35.52025	-83.22418	Big Witch Creek	0.034	0.009	0.011	0.003	0.857	0.079	0.008	3.4-0.9-1.1-0.3-85.7-7.9-0.8
240	LTNC31	[WRC376-001]	40	35.26218	-84.04492	Tellico River	0.033	0.003	0.01	0.006	0.926	0.004	0.019	3.3-0.3-1-0.6-92.6-0.4-1.9
241	LTNC32	[WRC377-001]	34	35.25168	-84.0299	Round Mountain Branch	0.030	0.004	0.011	0.012	0.917	0.007	0.019	3-0.4-1.1-1.2-91.7-0.7-1.9
242	LTNC33	[WRC378-001]	31	35.27757	-83.99892	Snowbird Creek	0.023	0.008	0.032	0.008	0.907	0.012	0.01	2.3-0.8-3.2-0.8-90.7-1.2-1
245	LTNC36	[WRC384-001]	28	35.384962	-83.079766	Dark Ridge Creek	0.011	0.021	0.008	0.003	0.874	0.075	0.008	1.1-2.1-0.8-0.3-87.4-7.5-0.8
246	LTNC37	[WRC109-001]	19	35.39795	-83.993239	Slickrock Creek	0.005	0.015	0.021	0.005	0.844	0.104	0.007	0.5-1.5-2.1-0.5-84.4-10.4-0.7
247	LTNC38	[WRC100-001]	20	35.051127	-83.4433848	Henson Creek	0.020	0.069	0.005	0.028	0.765	0.093	0.02	2-6.9-0.5-2.8-76.5-9.3-2
248	LTNC39	[WRC103-001]	20	35.3365644	-83.4061966	Little Laurel Creek (trib. of Alarka Cr.)	0.003	0.003	0.002	0.002	0.980	0.005	0.005	0.3-0.3-0.2-0.2-98-0.5-0.5
250	LTNC40	[WRC105-001]	20	35.0812545	-83.2460064	Long Branch	0.037	0.03	0.005	0.008	0.267	0.644	0.008	3.7-3-0.5-0.8-26.7-64.4-0.8
251	LTNC41	[WRC107-001]	20	35.2703011	-84.0475248	Peckerwood Creek	0.015	0.005	0.009	0.005	0.941	0.014	0.011	1.5-0.5-0.9-0.5-94.1-1.4-1.1
252	LTNC42	[WRC110-001]	20	35.0512067	-83.2553861	Turtle Pond Creek	0.007	0.084	0.004	0.006	0.546	0.343	0.01	0.7-8.4-0.4-0.6-54.6-34.3-1
253	LTNC43	[WRC114-001]	20	35.032742	-83.436394	UT to Coweeta Creek (near Reynolds Gap)	0.005	0.004	0.003	0.003	0.976	0.003	0.006	0.5-0.4-0.3-0.3-97.6-0.3-0.6
254	LTNC44	[WRC115-001]	20	35.2175734	-83.2342281	Wildcat Creek	0.009	0.02	0.005	0.004	0.744	0.204	0.014	0.9-2-0.5-0.4-74.4-20.4-1.4
256	LTNC46	[WRC118-001]	20	35.249133	-83.669244	Pierce Creek ( also listed as Piercy Creek)	0.010	0.055	0.028	0.004	0.079	0.039	0.786	1-5.5-2.8-0.4-7.9-3.9-78.6
257	LTNC47	[WRC267-001]	20	35.382	-83.12	(A) South Fork Sugarloaf Creek	0.004	0.002	0.003	0.003	0.981	0.003	0.004	0.4-0.2-0.3-0.3-98.1-0.3-0.4
259	LTNC49	[WRC269-001]	19	35.388	-83.126	(A) UT Sugarloaf Creek	0.004	0.003	0.003	0.003	0.937	0.047	0.004	0.4-0.3-0.3-0.3-93.7-4.7-0.4
270	LTNC58	[WRC282-001]	20	35.3280919	-83.0582684	(D) Chastine Creek (incl. tribs.)	0.005	0.003	0.003	0.003	0.980	0.003	0.003	0.5-0.3-0.3-0.3-98-0.3-0.3
271	LTNC59	[WRC283-001]	20	35.347	-83.054	(D) Craig Creek	0.006	0.003	0.003	0.002	0.980	0.003	0.003	0.6-0.3-0.3-0.2-98-0.3-0.3
272	LTNC6	[WRC101-001]	20	35.1570048	-83.2625388	Ledford Branch	0.003	0.004	0.004	0.002	0.604	0.379	0.003	0.3-0.4-0.4-0.2-60.4-37.9-0.3
273	LTNC60	[WRC284-001]	20	35.3360411	-83.05636282	(D) Frady Creek	0.006	0.003	0.003	0.003	0.978	0.003	0.003	0.6-0.3-0.3-0.3-97.8-0.3-0.3
275	LTNC62	[WRC299-001]	20	35.4191386	-83.1907797	Fisher Creek	0.004	0.005	0.004	0.003	0.976	0.003	0.004	0.4-0.5-0.4-0.3-97.6-0.3-0.4
276	LTNC63	[WRC304-002]	19	35.333816	-83.3062694	Greens Creek	0.003	0.003	0.003	0.004	0.824	0.156	0.007	0.3-0.3-0.3-0.4-82.4-15.6-0.7
277	LTNC64	[WRC305-001]	20	35.2200232	-83.1506208	Hunter Jim Creek	0.010	0.017	0.013	0.004	0.943	0.004	0.007	1-1.7-1.3-0.4-94.3-0.4-0.7
279	LTNC66	[WRC309-001]	20	35.2171902	-83.1048686	Little Trout Creek	0.018	0.02	0.018	0.012	0.820	0.035	0.078	1.8-2-1.8-1.2-82-3.5-7.8
280	LTNC67	[WRC312-001]	20	35.2339737	-83.0196683	Neddie Creek	0.008	0.009	0.006	0.006	0.947	0.014	0.011	0.8-0.9-0.6-0.6-94.7-1.4-1.1
281	LTNC68	[WRC319-001]	20	35.2847512	-82.9434836	Tanassee Creek	0.004	0.005	0.032	0.007	0.937	0.003	0.013	0.4-0.5-3.2-0.7-93.7-0.3-1.3
282	LTNC69	[WRC323-001]	20	35.3482953	-83.1325927	Wayehutta Creek	0.055	0.008	0.009	0.004	0.897	0.021	0.007	5.5-0.8-0.9-0.4-89.7-2.1-0.7
283	LTNC7	[WRC106-001]	20	35.0980559	-83.1887634	Norton Prong	0.050	0.067	0.006	0.006	0.172	0.683	0.016	5-6.7-0.6-0.6-17.2-68.3-1.6
284	LTNC70	[WRC366-001]	20	35.24075	-83.582694	Big Branch	0.018	0.004	0.114	0.003	0.795	0.004	0.062	1.8-0.4-11.4-0.3-79.5-0.4-6.2
285	LTNC71	[WRC369-001]	20	35.3657942	-83.0204091	Mull Creek	0.079	0.036	0.023	0.012	0.707	0.043	0.099	7.9-3.6-2.3-1.2-70.7-4.3-9.9
286	LTNC72	[WRC024-001]	20	35.328906	-84.016292	Whigg Branch	0.026	0.017	0.236	0.011	0.108	0.588	0.013	2.6-1.7-23.6-1.1-10.8-58.8-1.3
290	LTNC76	[WRC116-001]	20	35.039192	-83.574072	Buck Creek	0.039	0.17	0.022	0.028	0.293	0.07	0.378	3.9-17-2.2-2.8-29.3-7-37.8
291	LTNC77	[WRC278-001]	20	35.35	-83.088	(C) East Fork Moses	0.014	0.011	0.005	0.007	0.951	0.006	0.005	1.4-1.1-0.5-0.7-95.1-0.6-0.5
292	LTNC78	[WRC279-001]	20	35.3312291	-83.1007775	(C) Moses Creek	0.012	0.005	0.006	0.003	0.964	0.003	0.005	1.2-0.5-0.6-0.3-96.4-0.3-0.5
293	LTNC79	[WRC280-001]	20	35.338	-83.098	(C) Moses Creek	0.012	0.006	0.006	0.003	0.964	0.004	0.005	1.2-0.6-0.6-0.3-96.4-0.4-0.5
294	LTNC8	[WRC111-001]	20	35.3374603	-83.3784729	Upper Long Branch	0.005	0.007	0.005	0.003	0.933	0.039	0.009	0.5-0.7-0.5-0.3-93.3-3.9-0.9
296	LTNC81	[WRC285-001]	20	35.3300556	-83.0012443	(F) Bearwallow Creek (including tribs.)	0.014	0.149	0.075	0.053	0.356	0.323	0.03	1.4-14.9-7.5-5.3-35.6-32.3-3
297	LTNC82	[WRC286-001]	20	35.332	-82.999	(F) Birch Ridge Creek	0.149	0.08	0.096	0.058	0.420	0.055	0.142	14.9-8-9.6-5.8-42-5.5-14.2
298	LTNC83	[WRC287-001]	20	35.179	-83.076	(G) Cow Mountain Branch	0.040	0.06	0.421	0.019	0.017	0.428	0.014	4-6-42.1-1.9-1.7-42.8-1.4
299	LTNC84	[WRC288-001]	20	35.186	-83.078	(G) Mill Creek	0.053	0.029	0.339	0.007	0.024	0.511	0.038	5.3-2.9-33.9-0.7-2.4-51.1-3.8
300	LTNC85	[WRC289-001]	20	35.176	-83.061	(G) Packs Creek	0.149	0.013	0.195	0.016	0.014	0.595	0.018	14.9-1.3-19.5-1.6-1.4-59.5-1.8
301	LTNC86	[WRC290-001]	20	35.183	-83.082	(G) Shelton Creek	0.039	0.014	0.22	0.013	0.021	0.667	0.027	3.9-1.4-22-1.3-2.1-66.7-2.7
302	LTNC87	[WRC291-001]	20	35.2644016	-83.0185048	(H) Sols Creek	0.016	0.041	0.021	0.011	0.886	0.012	0.013	1.6-4.1-2.1-1.1-88.6-1.2-1.3
303	LTNC88	[WRC292-001]	20	35.3523882	-83.0155009	Beechflat Creek	0.033	0.067	0.025	0.045	0.005	0.815	0.008	3.3-6.7-2.5-4.5-0.5-81.5-0.8
305	LTNC9	[WRC112-001]	20	35.1334328	-83.2059302	UT Buck Creek	0.005	0.004	0.004	0.004	0.969	0.01	0.005	0.5-0.4-0.4-0.4-96.9-1-0.5
306	LTNC90	[WRC297-001]	20	35.2186559	-83.2097509	Dodgen Creek	0.006	0.016	0.008	0.005	0.420	0.534	0.011	0.6-1.6-0.8-0.5-42-53.4-1.1
307	LTNC91	[WRC300-001]	20	35.2204377	-83.0327662	Flat Creek	0.083	0.017	0.768	0.011	0.015	0.05	0.055	8.3-1.7-76.8-1.1-1.5-5-5.5
308	LTNC92	[WRC301-001]	20	35.2883362	-82.9733704	Gage Creek	0.039	0.039	0.015	0.009	0.145	0.703	0.049	3.9-3.9-1.5-0.9-14.5-70.3-4.9
309	LTNC93	[WRC313-001]	20	35.3235915	-82.9913537	Piney Mountain Creek	0.141	0.032	0.075	0.051	0.350	0.207	0.143	14.1-3.2-7.5-5.1-35-20.7-14.3
310	LTNC94	[WRC314-001]	20	35.2568349	-82.9362342	Pinhook Creek	0.008	0.017	0.221	0.007	0.623	0.088	0.035	0.8-1.7-22.1-0.7-62.3-8.8-3.5
311	LTNC95	[WRC315-001]	20	35.2488885	-83.2674832	Shell Branch	0.004	0.003	0.003	0.003	0.980	0.004	0.004	0.4-0.3-0.3-0.3-98-0.4-0.4
313	LTNC97	[WRC317-001]	20	35.2007229	-83.0039466	Slickens Creek	0.018	0.112	0.062	0.037	0.023	0.702	0.046	1.8-11.2-6.2-3.7-2.3-70.2-4.6
314	LTNC98	[WRC320-001]	19	35.2802563	-83.2630471	Tatham Creek	0.006	0.004	0.004	0.004	0.890	0.088	0.005	0.6-0.4-0.4-0.4-89-8.8-0.5
315	LTNC99	[WRC324-004]	15	35.2665208	-82.9695989	Wolf Creek	0.050	0.114	0.024	0.035	0.502	0.212	0.063	5-11.4-2.4-3.5-50.2-21.2-6.3
316	MPPS1	[LR_2013_211]	29	35.598205	-83.501998	Meigs Post Prong Site 1	0.960	0.003	0.016	0.006	0.005	0.003	0.008	96-0.3-1.6-0.6-0.5-0.3-0.8
317	MPPS2	[LR_2013_240]	31	35.594744	-83.49822	Meigs Post Prong Site 2	0.903	0.003	0.032	0.046	0.004	0.003	0.009	90.3-0.3-3.2-4.6-0.4-0.3-0.9
318	PFBNC1	[NC01-001]	42	35.46629	-83.04172	Hyatt Cove Creek	0.143	0.005	0.009	0.003	0.817	0.003	0.021	14.3-0.5-0.9-0.3-81.7-0.3-2.1
319	PFBNC10	[WRC246-001]	20	35.4136987	-83.0132106	Old Bald Creek	0.940	0.007	0.006	0.005	0.005	0.026	0.011	94-0.7-0.6-0.5-0.5-2.6-1.1
320	PFBNC100	[WRC217-001]	20	35.721547	-82.254889	Right Prong South Toe River	0.115	0.013	0.124	0.023	0.119	0.527	0.078	11.5-1.3-12.4-2.3-11.9-52.7-7.8
321	PFBNC101	[WRC219-001]	19	35.76075	-82.192601	Roaring Fork	0.104	0.014	0.715	0.01	0.087	0.057	0.013	10.4-1.4-71.5-1-8.7-5.7-1.3
322	PFBNC102	[WRC222-001]	20	36.1015896	-82.0403139	Sandbank Creek	0.031	0.008	0.026	0.007	0.016	0.619	0.293	3.1-0.8-2.6-0.7-1.6-61.9-29.3
324	PFBNC104	[WRC225-001]	20	36.136075	-82.221978	Spring Creek	0.028	0.006	0.019	0.004	0.008	0.452	0.482	2.8-0.6-1.9-0.4-0.8-45.2-48.2
325	PFBNC105	[WRC226-001]	20	36.0048744	-82.0796566	Stagger Weed Creek	0.023	0.019	0.021	0.008	0.004	0.418	0.507	2.3-1.9-2.1-0.8-0.4-41.8-50.7
326	PFBNC106	[WRC227-001]	20	35.8172014	-82.1783762	UT Little White Oak Creek	0.028	0.042	0.528	0.009	0.062	0.315	0.016	2.8-4.2-52.8-0.9-6.2-31.5-1.6
327	PFBNC107	[WRC235-001]	20	35.511961	-83.0311825	Gaddis Branch	0.917	0.007	0.007	0.006	0.010	0.045	0.007	91.7-0.7-0.7-0.6-1-4.5-0.7
328	PFBNC108	[WRC236-001]	20	35.5658324	-83.08157727	Hemphill Branch	0.772	0.009	0.034	0.003	0.114	0.057	0.012	77.2-0.9-3.4-0.3-11.4-5.7-1.2
329	PFBNC109	[WRC242-001]	20	35.439484	-82.9913905	Medford Branch	0.020	0.061	0.01	0.03	0.740	0.131	0.009	2-6.1-1-3-74-13.1-0.9
330	PFBNC11	[WRC250-001]	20	35.4082192	-83.9945695	Shiny Creek	0.958	0.005	0.006	0.01	0.006	0.004	0.011	95.8-0.5-0.6-1-0.6-0.4-1.1
331	PFBNC110	[WRC245-001]	20	35.4113281	-83.016928	Old Bald Creek	0.927	0.015	0.005	0.007	0.005	0.03	0.011	92.7-1.5-0.5-0.7-0.5-3-1.1
332	PFBNC111	[WRC249-001]	15	35.335311	-82.889639	Sam Branch	0.003	0.004	0.002	0.003	0.002	0.983	0.002	0.3-0.4-0.2-0.3-0.2-98.3-0.2
333	PFBNC112	[WRC254-001]	20	35.458564	-83.085531	Winchester Creek	0.982	0.003	0.003	0.002	0.004	0.003	0.003	98.2-0.3-0.3-0.2-0.4-0.3-0.3
334	PFBNC113	[WRC026-001]	20	36.016006	-82.684572	(A) East Prong Hickey Fork	0.098	0.041	0.011	0.011	0.256	0.472	0.111	9.8-4.1-1.1-1.1-25.6-47.2-11.1
335	PFBNC114	[WRC027-001]	20	35.4315423	-82.6826226	(B) Fletcher Creek	0.008	0.01	0.914	0.009	0.007	0.046	0.006	0.8-1-91.4-0.9-0.7-4.6-0.6
336	PFBNC115	[WRC028-001]	20	35.4346241	-82.68400165	(B) Spencer Branch	0.008	0.005	0.955	0.008	0.006	0.013	0.005	0.8-0.5-95.5-0.8-0.6-1.3-0.5
340	PFBNC119	[WRC326-001]	20	36.1950526	-81.9551761	Fall Creek	0.002	0.004	0.003	0.006	0.002	0.98	0.002	0.2-0.4-0.3-0.6-0.2-98-0.2
342	PFBNC120	[WRC327-001]	19	36.1854005	-81.7095864	Harrison Branch	0.025	0.007	0.008	0.02	0.058	0.047	0.835	2.5-0.7-0.8-2-5.8-4.7-83.5
345	PFBNC123	[WRC330-001]	20	36.196714	-81.7076549	Laurel Fork	0.021	0.011	0.013	0.017	0.013	0.092	0.833	2.1-1.1-1.3-1.7-1.3-9.2-83.3
346	PFBNC125	[WRC339-001]	20	36.2149634	-81.8216606	Worley Creek	0.048	0.009	0.02	0.004	0.011	0.227	0.682	4.8-0.9-2-0.4-1.1-22.7-68.2
347	PFBNC126	[WRC036-001]	19	35.1531241	-82.8544272	(K) Diamond Creek (above falls)	0.045	0.021	0.756	0.009	0.058	0.097	0.013	4.5-2.1-75.6-0.9-5.8-9.7-1.3
348	PFBNC127	[WRC037-001]	19	35.148	-82.841	(K) Diamond Creek (below falls)	0.033	0.018	0.479	0.006	0.017	0.441	0.007	3.3-1.8-47.9-0.6-1.7-44.1-0.7
353	PFBNC131	[WRC043-001]	20	35.317274	-82.7989204	Big Bearpen Branch	0.008	0.012	0.77	0.022	0.006	0.166	0.015	0.8-1.2-77-2.2-0.6-16.6-1.5
354	PFBNC132	[WRC044-001]	20	35.1263498	-82.7254991	Bradley Creek	0.031	0.089	0.251	0.019	0.017	0.566	0.026	3.1-8.9-25.1-1.9-1.7-56.6-2.6
357	PFBNC135	[WRC047-001]	19	35.2452798	-82.8250315	Cathys Creek (above falls)	0.030	0.014	0.141	0.031	0.008	0.769	0.008	3-1.4-14.1-3.1-0.8-76.9-0.8
358	PFBNC136	[WRC048-001]	20	35.2279072	-82.8089636	Cedar Rock Creek	0.016	0.009	0.464	0.021	0.007	0.477	0.007	1.6-0.9-46.4-2.1-0.7-47.7-0.7
360	PFBNC138	[WRC054-001]	20	35.1953627	-82.7006818	Hogsed Creek	0.012	0.009	0.614	0.005	0.010	0.345	0.006	1.2-0.9-61.4-0.5-1-34.5-0.6
361	PFBNC139	[WRC055-001]	20	35.2269765	-82.8036075	Kagle Branch	0.018	0.006	0.777	0.009	0.004	0.182	0.004	1.8-0.6-77.7-0.9-0.4-18.2-0.4
362	PFBNC14	[WRC086-001]	20	35.3011132	-82.7014008	North Prong Turkey Creek	0.020	0.003	0.963	0.003	0.004	0.003	0.004	2-0.3-96.3-0.3-0.4-0.3-0.4
363	PFBNC140	[WRC056-001]	19	35.2453111	-82.7890818	Kuykendall Creek	0.003	0.013	0.011	0.004	0.003	0.964	0.002	0.3-1.3-1.1-0.4-0.3-96.4-0.2
364	PFBNC141	[WRC058-001]	20	35.3211685	-82.8026481	Log Hollow Branch	0.014	0.032	0.006	0.003	0.018	0.923	0.004	1.4-3.2-0.6-0.3-1.8-92.3-0.4
365	PFBNC142	[WRC059-001]	20	35.3240283	-82.7897053	Looking Glass Creek	0.033	0.015	0.147	0.011	0.074	0.676	0.044	3.3-1.5-14.7-1.1-7.4-67.6-4.4
