ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	Data
251	LTNC41	WRC107-001	20	35.2703011	-84.0475248	Peckerwood Creek	0	0	1	0	0-0-100-0
252	LTNC42	WRC110-001	20	35.0512067	-83.2553861	Turtle Pond Creek	0.00115	0.00685	0.91545	0.0765	0.1-0.7-91.5-7.7
253	LTNC43	WRC114-001	20	35.032742	-83.436394	UT to Coweeta Creek (near Reynolds Gap)	0	0	1	0	0-0-100-0
254	LTNC44	WRC115-001	20	35.2175734	-83.2342281	Wildcat Creek	5.00E-05	0	0.96145	0.0384	0-0-96.1-3.8
256	LTNC46	WRC118-001	20	35.249133	-83.669244	Pierce Creek ( also listed as Piercy Creek)	0	0.0021	0.99755	5.00E-05	0-0.2-99.8-0
257	LTNC47	WRC267-001	20	35.382	-83.12	(A) South Fork Sugarloaf Creek	0	0	1	0	0-0-100-0
258	LTNC48	WRC268-001	5	35.392	-83.133	(A) Sugarloaf Creek (below barrier)	0	0	0.8	0.2	0-0-80-20
259	LTNC49	WRC269-001	19	35.388	-83.126	(A) UT Sugarloaf Creek	0	0	1	0	0-0-100-0
270	LTNC58	WRC282-001	20	35.3280919	-83.0582684	(D) Chastine Creek (incl. tribs.)	0	0	1	0	0-0-100-0
271	LTNC59	WRC283-001	20	35.347	-83.054	(D) Craig Creek	0	0	1	0	0-0-100-0
272	LTNC6	WRC101-001	20	35.1570048	-83.2625388	Ledford Branch	0	8.00E-04	0.1701	0.82905	0-0.1-17-82.9
273	LTNC60	WRC284-001	20	35.3360411	-83.05636282	(D) Frady Creek	0	0	1	0	0-0-100-0
275	LTNC62	WRC299-001	20	35.4191386	-83.1907797	Fisher Creek	0	0	1	0	0-0-100-0
276	LTNC63	WRC304-002	19	35.333816	-83.3062694	Greens Creek	0	0	0.842105263	0.157894737	0-0-84.2-15.8
277	LTNC64	WRC305-001	20	35.2200232	-83.1506208	Hunter Jim Creek	0.0202	0	0.9798	0	2-0-98-0
279	LTNC66	WRC309-001	20	35.2171902	-83.1048686	Little Trout Creek	0.0035	0	0.9965	0	0.4-0-99.7-0
280	LTNC67	WRC312-001	20	35.2339737	-83.0196683	Neddie Creek	0.00055	0	0.99945	0	0.1-0-99.9-0
281	LTNC68	WRC319-001	20	35.2847512	-82.9434836	Tanassee Creek	0	0	1	0	0-0-100-0
282	LTNC69	WRC323-001	20	35.3482953	-83.1325927	Wayehutta Creek	0.5565	0	0.4435	0	55.7-0-44.4-0
283	LTNC7	WRC106-001	20	35.0980559	-83.1887634	Norton Prong	0.04285	0.00025	0.42155	0.53525	4.3-0-42.2-53.5
284	LTNC70	WRC366-001	20	35.24075	-83.582694	Big Branch	0.0018	0	0.9982	0	0.2-0-99.8-0
285	LTNC71	WRC369-001	20	35.3657942	-83.0204091	Mull Creek	0.3529	0	0.6471	0	35.3-0-64.7-0
286	LTNC72	WRC024-001	20	35.328906	-84.016292	Whigg Branch	0.06085	0.00545	0.46415	0.4695	6.1-0.5-46.4-47
290	LTNC76	WRC116-001	20	35.039192	-83.574072	Buck Creek	0.0902	0.05185	0.85745	5.00E-04	9-5.2-85.7-0.1
291	LTNC77	WRC278-001	20	35.35	-83.088	(C) East Fork Moses	0.05975	0	0.94025	0	6-0-94-0
292	LTNC78	WRC279-001	20	35.3312291	-83.1007775	(C) Moses Creek	0.01415	0	0.98585	0	1.4-0-98.6-0
293	LTNC79	WRC280-001	20	35.338	-83.098	(C) Moses Creek	0.1175	0	0.8825	0	11.8-0-88.3-0
294	LTNC8	WRC111-001	20	35.3374603	-83.3784729	Upper Long Branch	0	0	1	0	0-0-100-0
296	LTNC81	WRC285-001	20	35.3300556	-83.0012443	(F) Bearwallow Creek (including tribs.)	0.0033	0.08365	0.8602	0.0529	0.3-8.4-86-5.3
297	LTNC82	WRC286-001	20	35.332	-82.999	(F) Birch Ridge Creek	0.1691	0.0013	0.8222	0.0073	16.9-0.1-82.2-0.7
298	LTNC83	WRC287-001	20	35.179	-83.076	(G) Cow Mountain Branch	0.6824	0.01845	0.1459	0.1533	68.2-1.8-14.6-15.3
299	LTNC84	WRC288-001	20	35.186	-83.078	(G) Mill Creek	0.34285	0.02225	0.20885	0.42615	34.3-2.2-20.9-42.6
300	LTNC85	WRC289-001	20	35.176	-83.061	(G) Packs Creek	0.50025	5.00E-05	6.00E-04	0.49915	50-0-0.1-49.9
301	LTNC86	WRC290-001	20	35.183	-83.082	(G) Shelton Creek	0.22275	0.0901	0.05255	0.63445	22.3-9-5.3-63.4
302	LTNC87	WRC291-001	20	35.2644016	-83.0185048	(H) Sols Creek	0.0522	5.00E-05	0.9478	0	5.2-0-94.8-0
303	LTNC88	WRC292-001	20	35.3523882	-83.0155009	Beechflat Creek	5.00E-05	0.11265	0	0.8872	0-11.3-0-88.7
305	LTNC9	WRC112-001	20	35.1334328	-83.2059302	UT Buck Creek	0	0	1	0	0-0-100-0
306	LTNC90	WRC297-001	20	35.2186559	-83.2097509	Dodgen Creek	0	8.00E-04	0.26475	0.7343	0-0.1-26.5-73.4
307	LTNC91	WRC300-001	20	35.2204377	-83.0327662	Flat Creek	0.96595	0	0.0337	3.00E-04	96.6-0-3.4-0
308	LTNC92	WRC301-001	20	35.2883362	-82.9733704	Gage Creek	0.0014	0.0252	0.13455	0.8388	0.1-2.5-13.5-83.9
309	LTNC93	WRC313-001	20	35.3235915	-82.9913537	Piney Mountain Creek	0.2423	0.00275	0.5165	0.2384	24.2-0.3-51.7-23.8
310	LTNC94	WRC314-001	20	35.2568349	-82.9362342	Pinhook Creek	0.09785	0	0.83945	0.0626	9.8-0-83.9-6.3
311	LTNC95	WRC315-001	20	35.2488885	-83.2674832	Shell Branch	0	0	1	0	0-0-100-0
313	LTNC97	WRC317-001	20	35.2007229	-83.0039466	Slickens Creek	0	0.25675	0.04935	0.6939	0-25.7-4.9-69.4
314	LTNC98	WRC320-001	19	35.2802563	-83.2630471	Tatham Creek	0	0	0.998421053	0.001578947	0-0-99.8-0.2
315	LTNC99	WRC324-004	15	35.2665208	-82.9695989	Wolf Creek	0.2804	6.00E-04	0.7184	0.000733333	28-0.1-71.8-0.1
316	MPPS1	LR_2013_211	29	35.598205	-83.501998	Meigs Post Prong Site 1	1	0	0	0	100-0-0-0
317	MPPS2	LR_2013_240	31	35.594744	-83.49822	Meigs Post Prong Site 2	1	0	0	0	100-0-0-0
318	PFBNC1	NC01-001	42	35.46629	-83.04172	Hyatt Cove Creek	0.579690476	0	0.420285714	0	58-0-42-0
319	PFBNC10	WRC246-001	20	35.4136987	-83.0132106	Old Bald Creek	1	0	0	0	100-0-0-0
320	PFBNC100	WRC217-001	20	35.721547	-82.254889	Right Prong South Toe River	0.1548	0.00495	0.41575	0.42435	15.5-0.5-41.6-42.4
321	PFBNC101	WRC219-001	19	35.76075	-82.192601	Roaring Fork	0.373105263	0	0.573947368	0.052894737	37.3-0-57.4-5.3
322	PFBNC102	WRC222-001	20	36.1015896	-82.0403139	Sandbank Creek	5.00E-05	0.00035	0.43865	0.5609	0-0-43.9-56.1
324	PFBNC104	WRC225-001	20	36.136075	-82.221978	Spring Creek	0.0096	5.00E-05	0.6775	0.31275	1-0-67.8-31.3
325	PFBNC105	WRC226-001	20	36.0048744	-82.0796566	Stagger Weed Creek	0.09135	0.02075	0.40285	0.48495	9.1-2.1-40.3-48.5
326	PFBNC106	WRC227-001	20	35.8172014	-82.1783762	UT Little White Oak Creek	0.02175	0.00025	0.7674	0.21055	2.2-0-76.7-21.1
327	PFBNC107	WRC235-001	20	35.511961	-83.0311825	Gaddis Branch	0.9942	0	3.00E-04	0.0055	99.4-0-0-0.6
328	PFBNC108	WRC236-001	20	35.5658324	-83.08157727	Hemphill Branch	0.90095	5.00E-05	0.0922	0.0068	90.1-0-9.2-0.7
329	PFBNC109	WRC242-001	20	35.439484	-82.9913905	Medford Branch	0.12725	0	0.84695	0.0257	12.7-0-84.7-2.6
330	PFBNC11	WRC250-001	20	35.4082192	-83.9945695	Shiny Creek	1	0	0	0	100-0-0-0
331	PFBNC110	WRC245-001	20	35.4113281	-83.016928	Old Bald Creek	1	0	0	0	100-0-0-0
332	PFBNC111	WRC249-001	15	35.335311	-82.889639	Sam Branch	0	0	0	1	0-0-0-100
333	PFBNC112	WRC254-001	20	35.458564	-83.085531	Winchester Creek	1	0	0	0	100-0-0-0
334	PFBNC113	WRC026-001	20	36.016006	-82.684572	(A) East Prong Hickey Fork	0.57215	0.00165	0.2643	0.16185	57.2-0.2-26.4-16.2
335	PFBNC114	WRC027-001	20	35.4315423	-82.6826226	(B) Fletcher Creek	0.90725	5.00E-05	0.09145	0.00125	90.7-0-9.1-0.1
336	PFBNC115	WRC028-001	20	35.4346241	-82.68400165	(B) Spencer Branch	0.9935	0	0.0065	0	99.4-0-0.7-0
340	PFBNC119	WRC326-001	20	36.1950526	-81.9551761	Fall Creek	0	0	0	1	0-0-0-100
342	PFBNC120	WRC327-001	19	36.1854005	-81.7095864	Harrison Branch	0.063105263	0	0.936736842	0.000157895	6.3-0-93.7-0
345	PFBNC123	WRC330-001	20	36.196714	-81.7076549	Laurel Fork	0.0245	7.00E-04	0.94085	0.034	2.5-0.1-94.1-3.4
346	PFBNC125	WRC339-001	20	36.2149634	-81.8216606	Worley Creek	0.0124	0	0.96635	0.02125	1.2-0-96.6-2.1
347	PFBNC126	WRC036-001	19	35.1531241	-82.8544272	(K) Diamond Creek (above falls)	0.992210526	0.000105263	0.007157895	0.000526316	99.2-0-0.7-0.1
348	PFBNC127	WRC037-001	19	35.148	-82.841	(K) Diamond Creek (below falls)	0.520526316	0.005	0.029157895	0.445210526	52.1-0.5-2.9-44.5
353	PFBNC131	WRC043-001	20	35.317274	-82.7989204	Big Bearpen Branch	0.9947	0	0.0041	0.00115	99.5-0-0.4-0.1
354	PFBNC132	WRC044-001	20	35.1263498	-82.7254991	Bradley Creek	0.0977	0.219	0.0363	0.64695	9.8-21.9-3.6-64.7
357	PFBNC135	WRC047-001	19	35.2452798	-82.8250315	Cathys Creek (above falls)	0.087736842	0.012368421	0.003368421	0.896578947	8.8-1.2-0.3-89.7
358	PFBNC136	WRC048-001	20	35.2279072	-82.8089636	Cedar Rock Creek	0.50185	4.00E-04	1.00E-04	0.4976	50.2-0-0-49.8
360	PFBNC138	WRC054-001	20	35.1953627	-82.7006818	Hogsed Creek	0.89165	0.0066	0.07845	0.02335	89.2-0.7-7.8-2.3
361	PFBNC139	WRC055-001	20	35.2269765	-82.8036075	Kagle Branch	0.8489	5.00E-05	8.00E-04	0.1503	84.9-0-0.1-15
362	PFBNC14	WRC086-001	20	35.3011132	-82.7014008	North Prong Turkey Creek	1	0	0	0	100-0-0-0
363	PFBNC140	WRC056-001	19	35.2453111	-82.7890818	Kuykendall Creek	0	0.001473684	0	0.998526316	0-0.1-0-99.9
364	PFBNC141	WRC058-001	20	35.3211685	-82.8026481	Log Hollow Branch	0	0	0	1	0-0-0-100
365	PFBNC142	WRC059-001	20	35.3240283	-82.7897053	Looking Glass Creek	0.08425	0.00015	0.08775	0.82785	8.4-0-8.8-82.8
366	PFBNC144	WRC067-001	20	35.3017378	-82.803234	Rockhouse Creek	0	0	0	1	0-0-0-100
367	PFBNC145	WRC068-001	20	35.5621703	-82.3555376	Rocky Fork	0	1.00E-04	1.00E-04	0.9998	0-0-0-100
370	PFBNC148	WRC071-001	20	35.3216175	-82.6885368	Sutton Creek	0.11715	0.03895	0.0124	0.8314	11.7-3.9-1.2-83.1
371	PFBNC149	WRC072-001	20	35.2333527	-82.8211449	Tarkiln Branch	0.72515	0.01455	7.00E-04	0.2595	72.5-1.5-0.1-26
374	PFBNC152	WRC077-001	20	35.3352984	-82.8026901	UT Looking Glass Creek (@ Bennet Cove)	0.3381	0.00105	0.104	0.5568	33.8-0.1-10.4-55.7
377	PFBNC155	WRC080-001	20	35.3387483	-82.7923259	UT to Looking Glass Creek (@ Cherry Cove)	0.16095	0.00025	0.1053	0.73355	16.1-0-10.5-73.4
378	PFBNC156	WRC081-001	20	35.148281	-82.594131	Wildcat Branch	0.716	0.0623	0.0021	0.21945	71.6-6.2-0.2-21.9
379	PFBNC157	WRC084-001	20	35.2791541	-82.88750234	Chestnut Creek	0.9921	0	0.0078	1.00E-04	99.2-0-0.8-0
380	PFBNC158	D712-001	86	36.1187367	-81.785994	Boone Fork	0	0	1	0	0-0-100-0
381	PFBNC159	D904-001	48	35.65536	-82.41322	Left Fork Beetree Creek	1	0	0	0	100-0-0-0
382	PFBNC16	WRC088-001	20	35.720176	-82.8363434	UT Friezland Creek	1	0	0	0	100-0-0-0
383	PFBNC160	D905-001	40	35.66236	-82.29021	Flat Creek	0.85505	0.00015	0.14475	0	85.5-0-14.5-0
384	PFBNC161	D908-001	40	35.72633	-82.33578	North Fork Swannanoa River	1	0	0	0	100-0-0-0
386	PFBNC17	WRC089-001	20	35.1317496	-82.633079	Walker Branch	0.32835	0.06215	0.00045	0.60895	32.8-6.2-0-60.9
388	PFBNC19	WRC050-001	20	35.2919502	-82.815768	Cove Creek	1	0	0	0	100-0-0-0
389	PFBNC21	WRC238-001	20	35.520511	-83.1329804	Indian Creek	1	0	0	0	100-0-0-0
391	PFBNC23	WRC034-001	20	35.1911007	-82.8208899	(J) Sawmill Creek (above falls)	1	0	0	0	100-0-0-0
392	PFBNC24	WRC371-001	20	35.088828	-82.756712	South Prong Glady Fork	0.81435	0.1022	0.0657	0.01745	81.4-10.2-6.6-1.7
393	PFBNC25	WRC372-001	20	35.089306	-82.741648	Jane Cantrell Creek	0.99995	5.00E-05	0	0	100-0-0-0
394	PFBNC26	WRC373-001	20	35.108285	-82.701368	Hickory Flat Creek	0	0	0	1	0-0-0-100
396	PFBNC28	WRC382-001	20	35.120125	-82.75003	Laurel Branch (Murr Creek) Above Falls	0.78655	0.0881	0.01475	0.1105	78.7-8.8-1.5-11.1
398	PFBNC3	WRC064-001	20	35.3536568	-82.7777478	Pigeon Branch	0.0039	0	0.00865	0.9874	0.4-0-0.9-98.7
400	PFBNC31	WRC042-001	20	35.462239	-82.689914	Beaverdam Creek	0.99005	0	0.00995	0	99-0-1-0
401	PFBNC32	WRC051-001	20	35.1232614	-82.7047303	East Fork French Broad River	0.9994	0.00025	0.00035	0	99.9-0-0-0
403	PFBNC34	WRC057-001	19	35.361242	-82.683317	Laurel Creek	0.993578947	0	0.006421053	0	99.4-0-0.6-0
404	PFBNC35	WRC060-001	20	35.756372	-82.946969	Maple Springs Branch	0.96785	0	0.03215	0	96.8-0-3.2-0
405	PFBNC36	WRC062-001	20	35.798753	-82.368792	North Fork Ivy Creek	1	0	0	0	100-0-0-0
407	PFBNC38	WRC065-001	20	35.6694559	-82.3930353	Right Fork Beetree Creek	1	0	0	0	100-0-0-0
408	PFBNC39	WRC066-001	20	35.815297	-82.938686	Roaring Fork	0.9483	4.00E-04	0.03495	0.0164	94.8-0-3.5-1.6
409	PFBNC4	WRC090-001	20	35.33193	-82.65082	Woody Branch	1	0	0	0	100-0-0-0
412	PFBNC42	WRC082-001	20	35.3314292	-82.6493749	Woody Branch	1	0	0	0	100-0-0-0
413	PFBNC43	WRC085-001	20	35.2584604	-82.7535622	Mine Branch	1	0	0	0	100-0-0-0
414	PFBNC44	WRC189-001	20	35.87624	-82.234827	Ayles Creek	0.24475	0	0.75525	0	24.5-0-75.5-0
415	PFBNC45	WRC190-001	20	35.9652732	-82.4749537	Bald Mountain Creek	5.00E-05	0	0.99995	0	0-0-100-0
416	PFBNC46	WRC196-001	20	36.0968006	-82.1012793	Carvers Gap Creek	0	0	1	0	0-0-100-0
418	PFBNC48	WRC198-001	20	35.9602071	-82.0517815	Gouges Creek	0	0	1	0	0-0-100-0
419	PFBNC49	WRC200-001	20	36.083408	-82.115417	Holder Creek	7.00E-04	0	0.9993	0	0.1-0-99.9-0
420	PFBNC5	WRC230-001	20	35.4080126	-83.0011615	Cherry Cove Creek	0.99995	0	5.00E-05	0	100-0-0-0
421	PFBNC50	WRC201-001	20	36.082267	-82.063001	Jerry Creek	0.0021	0	0.99785	5.00E-05	0.2-0-99.8-0
422	PFBNC51	WRC203-001	20	36.0956264	-82.0985289	Johns Camp Branch	0	0	1	0	0-0-100-0
423	PFBNC52	WRC204-001	20	35.9845092	-82.044634	Jones Creek	0.00065	0	0.99935	0	0.1-0-99.9-0
424	PFBNC53	WRC209-001	20	36.121701	-82.160219	Lyddies Creek	0	0	1	0	0-0-100-0
426	PFBNC55	WRC212-001	20	35.7970579	-82.2825554	Ogle Creek	0	0	1	0	0-0-100-0
427	PFBNC56	WRC214-001	20	35.7731193	-82.3226384	Raven Fork	0	0	1	0	0-0-100-0
428	PFBNC57	WRC218-001	20	36.116242	-82.050094	Roaring Creek	5.00E-05	0	0.99995	0	0-0-100-0
429	PFBNC58	WRC220-001	20	35.8482545	-82.2108422	Roaring Spout Branch (Above Falls)	0.00015	0	0.99985	0	0-0-100-0
431	PFBNC6	WRC231-001	20	35.4144916	-83.9934787	Deep Gap Creek	1	0	0	0	100-0-0-0
433	PFBNC61	WRC228-001	20	35.382768	-82.8093472	Bee Branch	1	0	0	0	100-0-0-0
435	PFBNC63	WRC232-001	19	35.4134934	-82.9919913	Deep Gap Creek	1	0	0	0	100-0-0-0
436	PFBNC64	WRC233-001	20	35.5284956	-83.1522215	Deep Gap Creek	0.98955	0	0.01045	0	99-0-1-0
437	PFBNC65	WRC234-001	20	35.54362	-83.1043	Fie Creek	0.996	0	1.00E-04	0.0038	99.6-0-0-0.4
438	PFBNC66	WRC239-001	20	35.5044723	-83.0939977	Johnson Branch	1	0	0	0	100-0-0-0
439	PFBNC67	WRC240-001	20	35.5194154	-83.158788	Long Branch	1	0	0	0	100-0-0-0
440	PFBNC68	WRC241-001	20	35.5350548	-83.1629576	Mashie Stomp Creek	1	0	0	0	100-0-0-0
441	PFBNC69	WRC244-001	20	35.435672	-82.934283	Nix Creek	1	0	0	0	100-0-0-0
442	PFBNC7	WRC237-001	20	35.400362	-82.7949057	Hungry Creek	1	0	0	0	100-0-0-0
443	PFBNC70	WRC247-001	20	35.4815135	-83.0456402	Plott Creek	0.9999	0	1.00E-04	0	100-0-0-0
444	PFBNC71	WRC248-001	20	35.4263574	-83.0215477	Rocky Branch	0.9999	0	1.00E-04	0	100-0-0-0
445	PFBNC72	WRC251-001	20	35.4159817	-83.0244455	Steestachee Creek	1	0	0	0	100-0-0-0
446	PFBNC73	WRC255-001	20	35.5108696	-83.1468679	Wolf Laurel Branch	0.9971	0	0.00265	0.00015	99.7-0-0.3-0
447	PFBNC74	WRC325-001	20	36.3214084	-81.7397625	Ellison Branch	0	0	1	0	0-0-100-0
448	PFBNC75	WRC328-001	20	36.1862318	-81.7095216	Harrison Branch	0.06565	0	0.93435	0	6.6-0-93.4-0
449	PFBNC77	WRC333-001	20	36.3274908	-81.7776488	North Fork Cove Creek	0	0	1	0	0-0-100-0
450	PFBNC78	WRC334-001	20	36.1556859	-81.8987786	Ramp Branch	0	0	1	0	0-0-100-0
451	PFBNC79	WRC335-001	20	36.1253758	-81.8201683	Shanty Spring Branch	0.08025	0	0.91975	0	8-0-92-0
452	PFBNC80	WRC337-001	20	36.1505828	-81.9007725	UT to Elk River (upstream of Ramp Branch)	0.005	0	0.94475	0.05025	0.5-0-94.5-5
453	PFBNC81	WRC365-001	20	35.4886448	-83.1133433	East Fork Campbell Creek	0.99995	0	5.00E-05	0	100-0-0-0
454	PFBNC82	WRC367-001	20	35.449162	-82.7433732	Stony Fork	0.9999	0	1.00E-04	0	100-0-0-0
455	PFBNC83	WRC368-001	20	35.3007729	-82.8198306	UT Cove Creek	1	0	0	0	100-0-0-0
457	PFBNC86	WRC192-001	20	35.740517	-82.21605	Big Lost Cove Creek	0	0	1	0	0-0-100-0
458	PFBNC87	WRC193-001	20	35.7732736	-82.2913318	Big Poplar Creek	0.00765	0.0042	0.9878	3.00E-04	0.8-0.4-98.8-0
460	PFBNC89	WRC195-001	20	36.095653	-82.187814	Broad Branch	0.1876	5.00E-04	0.7486	0.06315	18.8-0.1-74.9-6.3
462	PFBNC90	WRC199-001	20	35.710219	-82.251292	Hemphill Creek	0.13165	0.01055	0.4226	0.43505	13.2-1.1-42.3-43.5
464	PFBNC92	WRC205-001	20	36.073842	-82.096161	Little Rock Creek	0.1337	1.00E-04	0.8337	0.03255	13.4-0-83.4-3.3
465	PFBNC93	WRC206-001	20	35.8202383	-82.1830178	Little Whiteoak Creek	0.00055	0.00145	0.5362	0.46165	0.1-0.1-53.6-46.2
466	PFBNC94	WRC207-001	20	35.8209539	-82.183294	Little Whiteoak Creek	0.0281	1.00E-04	0.6521	0.3196	2.8-0-65.2-32
467	PFBNC95	WRC208-001	20	35.734181	-82.237019	Lower Creek	0.00115	0.0064	0.1581	0.83435	0.1-0.6-15.8-83.4
468	PFBNC96	WRC210-001	20	35.7431237	-82.2121026	Neals Creek	0.00155	0.00025	0.1513	0.8468	0.2-0-15.1-84.7
469	PFBNC97	WRC213-001	19	35.9954945	-82.0266517	Pyatt Creek	0.006052632	0.077473684	0.832736842	0.083631579	0.6-7.7-83.3-8.4
470	PFBNC98	WRC215-001	20	36.077086	-82.087278	Reuban Creek	0.0344	0	0.9656	0	3.4-0-96.6-0
471	PFBNC99	WRC216-001	20	36.0899691	-82.2272378	Right Fork Beans Creek	0.0696	1.00E-04	0.90985	0.0204	7-0-91-2
472	SCS1	LR_2013_331	30	35.599257	-83.49679	Sweet Creek Site 1	1	0	0	0	100-0-0-0
473	SiCS2	FC_2014_188	50	35.580724	-83.567498	Silers Creek Site 2	0.99984	0	0.00016	0	100-0-0-0
474	STB	LR_2013_361	30	35.589128	-83.514027	Spud Town Branch	1	0	0	0	100-0-0-0
475	TN01	TN01-001	34	36.19179	-82.10446	George Creek	0.008294118	0	0.991705882	0	0.8-0-99.2-0
476	TN02	TN02-001	34	36.17373	-82.21049	Clarke Creek	0.002117647	0	0.997882353	0	0.2-0-99.8-0
477	TN03	TN03-001	32	36.12929	-82.09356	Toms Creek	0.0046875	0	0.9953125	0	0.5-0-99.5-0
478	TN04	TN04-001	50	36.1452	-82.04849	Left Prong Hampton Creek (lower)	0.05258	0	0.94742	0	5.3-0-94.7-0
479	TN05	TN05-001	50	36.13995	-82.04641	Left Prong Hampton Creek (upper)	0.01054	0	0.98946	0	1.1-0-98.9-0
480	TN09	TN09-001	15	35.80358	-83.02765	Deep Gap Creek	1	0	0	0	100-0-0-0
481	TN10	TN10-001	30	36.1481741	-82.1020676	Five Poplar Branch	0.003733333	0	0.996266667	0	0.4-0-99.6-0
482	TN11	TN11-001	36	35.27136	-84.13839	Bald River	0.000305556	0	0.975027778	0.024666667	0-0-97.5-2.5
483	TN12	TN12-001	36	35.27077	-84.13883	Brookshire Creek	0.161083333	0	0.831527778	0.007305556	16.1-0-83.2-0.7
489	TN07	TN07-001	21	36.4715	-81.97623	Lindy Camp Branch	0.055809524	0	0.944190476	0	5.6-0-94.4-0
491	TN16	TN16-001	22	36.46861	-81.97776	Big Spur Branch	0.129954545	0	0.870045455	0	13-0-87-0
492	TN17	TN17-001	22	36.48027	-81.97548	Bakers Ridge Creek	0.214090909	0	0.785909091	0	21.4-0-78.6-0
493	TN20	TN20-001	20	36.60794	-81.6842	Whetstone Branch	0	0	1	0	0-0-100-0
494	TN08	TN08-001	21	36.61068	-81.65772	Bearpen Branch	0.178047619	0	0.821904762	0	17.8-0-82.2-0
495	TN108	TN108-001	30	35.798245	-82.998145	Middle Prong Gulf Ck.	0.998733333	0.000333333	9.00E-04	6.67E-05	99.9-0-0.1-0
496	TN109	TN109-001	30	35.790545	-83.00505	Brown Gap Creek	1	0	0	0	100-0-0-0
497	TN110	TN110-001	30	35.87983	-82.95747	Dry Fork	0.4998	0	0.5002	0	50-0-50-0
498	TN111	TN111-001	30	35.86268	-82.92706	Wolf Creek	0.999633333	1.00E-04	3.00E-04	0	100-0-0-0
499	TN112	TN112-001	30	35.95184	-82.827325	Sawmill Branch	0.084833333	3.33E-05	0.915133333	0	8.5-0-91.5-0
500	TN122	TN122-001	30	36.560025	-81.709925	Gentry Creek	0.4169	0	0.5831	0	41.7-0-58.3-0
501	TN021	TN021-001	30	35.356325	-84.06547	Falls Branch	0	0	0	1	0-0-0-100
502	TN025	TN025-001	20	35.33309	-84.05855	Sugar Cove Branch	0.01895	0.3724	0.00025	0.60835	1.9-37.2-0-60.8
503	TN065	TN065-001	30	36.069215	-82.596455	Ft. Davie Creek	0.0087	0.057033333	0.102833333	0.8314	0.9-5.7-10.3-83.1
504	TN084	TN084-001	30	36.063575	-82.59212	Rocky Fork	0.003466667	0.081566667	0.625366667	0.289566667	0.3-8.2-62.5-29
505	BarboursCreek	VA02-001	20	37.595815	-80.087905	Barbours Creek	0	0.9964	5.00E-05	0.0036	0-99.6-0-0.4
506	EwinsRun	VA03-001	20	37.539766	-80.293413	Ewins Run	0	0.9968	5.00E-05	0.00315	0-99.7-0-0.3
507	PicklesBranch	VA04-001	20	37.381798	-80.191154	Pickles Branch	0	0.9999	0	1.00E-04	0-100-0-0
508	PaulsCreek	VA15-001	19	36.644512	-80.695658	Pauls Creek	0.003947368	5.26E-05	0.996	0	0.4-0-99.6-0
509	PDER1	WRC344-001	20	36.1995485	-81.5754174	Elk Creek	0.07455	0.00015	0.91485	0.0104	7.5-0-91.5-1
510	PDER10	WRC346-001	18	36.436478	-81.074403	Horse Cove Branch	0	0	1	0	0-0-100-0
511	PDER11	WRC347-001	20	36.1049213	-81.542613	Joes Fork	0.0636	0	0.9363	5.00E-05	6.4-0-93.6-0
512	PDER12	WRC348-001	20	36.1775762	-81.5366649	Laurel Creek	0.17415	0.00045	0.82405	0.00125	17.4-0-82.4-0.1
513	PDER13	WRC349-001	20	36.2654934	-81.4159139	Little Fork	0.02455	0	0.97545	0	2.5-0-97.5-0
514	PDER14	WRC350-001	10	36.449842	-80.943961	Long Creek	0.0615	0	0.9385	0	6.2-0-93.9-0
515	PDER15	WRC351-001	19	36.264472	-81.398458	North Prong Lewis Fork	0.054842105	0.000263158	0.944736842	0.000105263	5.5-0-94.5-0
516	PDER16	WRC352-001	20	36.0942326	-81.6082065	Ooten Creek	0.018	0	0.982	0	1.8-0-98.2-0
518	PDER18	WRC354-001	20	36.1298035	-81.5893463	Rockhouse Creek	0.0613	0	0.9387	0	6.1-0-93.9-0
519	PDER19	WRC355-001	20	36.1674302	-81.5537206	South Fork Laurel Creek	0.00035	0	0.99965	0	0-0-100-0
520	PDER2	WRC358-001	20	36.3966103	-81.1151767	UT Harris Creek	0	0	1	0	0-0-100-0
524	PDER23	WRC357-001	20	36.448497	-80.961789	Stewart Fork	0.00585	0.00415	0.98935	5.00E-04	0.6-0.4-98.9-0.1
525	PDER24	WRC361-001	20	36.1151725	-81.6361518	UT Yadkin River (@ Caldwell/Watauga Co. line @ SR 1500)	0.0061	5.00E-05	0.99385	0	0.6-0-99.4-0
526	PDER25	D704-001	26	36.1246884	-81.6368065	Martin Branch	0.001692308	0.000153846	0.998153846	0	0.2-0-99.8-0
527	PDER26	D705-001	25	36.1181424	-81.6302791	Yadkin River	0.0512	0.00016	0.9486	0	5.1-0-94.9-0
529	PDER3	WRC360-001	20	36.4397214	-80.9656906	UT Mitchell River (@ Surry/Alleghany Co. line)	0.05085	0	0.94915	0	5.1-0-94.9-0
530	PDER4	WRC364-001	20	36.4198925	-81.1152104	UT Garden Creek	0.95185	0	0.04815	0	95.2-0-4.8-0
531	PDER5	WRC340-001	20	36.1235508	-81.5949909	(B) Spanish Oak Branch	0.13565	0	0.86435	0	13.6-0-86.4-0
