ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	K5	K6	Data
193	GRSMT33	[GS52-002]	30	35.63332387	-83.32996679	Chasm Prong	0.004	0.005	0.007	0.004	0.006	0.973	0.4-0.5-0.7-0.4-0.6-97.3
194	GRSMT34	[GS53-001]	30	35.64340742	-83.25582982	R. Fork Raven Fork	0.01	0.013	0.01	0.007	0.012	0.949	1-1.3-1-0.7-1.2-94.9
195	GRSMT35	[GS54-002]	30	35.64491771	-83.32894523	Gulf Prong	0.011	0.011	0.011	0.006	0.006	0.955	1.1-1.1-1.1-0.6-0.6-95.5
197	GRSMT5	[GRSMT5-001]	47	35.4858	-83.5926	Bear Creek	0.105	0.082	0.004	0.022	0.033	0.753	10.5-8.2-0.4-2.2-3.3-75.3
198	GRSMT6	[GRSMT6-001]	25	35.58628	-83.36516	Kanati Fork	0.003	0.003	0.005	0.004	0.01	0.974	0.3-0.3-0.5-0.4-1-97.4
199	GRSMT7	[GRSMT7-001]	22	35.59933	-83.39906	Aden Branch	0.003	0.004	0.003	0.003	0.008	0.978	0.3-0.4-0.3-0.3-0.8-97.8
200	L2S1	[FC_2014_238]	50	35.57905	-83.578	Lean-to Site 1	0.003	0.978	0.003	0.003	0.009	0.005	0.3-97.8-0.3-0.3-0.9-0.5
201	LRS1	[LR_2013_001]	30	35.592602	-83.511766	Little River Site 1	0.004	0.981	0.003	0.003	0.004	0.005	0.4-98.1-0.3-0.3-0.4-0.5
202	LTGA11	[GA11-001]	30	34.946254	-83.453083	Keener Creek	0.003	0.005	0.003	0.004	0.012	0.973	0.3-0.5-0.3-0.4-1.2-97.3
203	LTNC10	[WRC113-001]	20	35.0511015	-83.308477	UT Tessentee Creek	0.098	0.004	0.006	0.006	0.004	0.883	9.8-0.4-0.6-0.6-0.4-88.3
204	LTNC100	[WRC091-001]	20	35.2377037	-84.0580182	(A) Tipton Creek (incl. trib.)	0.119	0.011	0.016	0.01	0.061	0.783	11.9-1.1-1.6-1-6.1-78.3
205	LTNC101	[WRC092-001]	20	35.0634056	-83.2739161	Bennies Branch	0.325	0.008	0.004	0.027	0.011	0.624	32.5-0.8-0.4-2.7-1.1-62.4
206	LTNC102	[WRC093-001]	20	35.089675	-83.189961	Big Creek	0.466	0.014	0.01	0.142	0.018	0.351	46.6-1.4-1-14.2-1.8-35.1
207	LTNC103	[WRC095-001]	20	35.1016582	-83.2430469	Brush Creek	0.57	0.027	0.006	0.009	0.038	0.351	57-2.7-0.6-0.9-3.8-35.1
208	LTNC104	[WRC096-001]	20	35.2257112	-83.2384502	Bryson Branch	0.021	0.004	0.004	0.01	0.007	0.954	2.1-0.4-0.4-1-0.7-95.4
209	LTNC105	[WRC098-001]	20	35.1037626	-83.2902498	Crow Creek	0.831	0.023	0.004	0.007	0.017	0.118	83.1-2.3-0.4-0.7-1.7-11.8
211	LTNC107	[WRC380A-001]	33	35.2204377	-83.0327662	Flat Creek (above falls)	0.228	0.411	0.025	0.066	0.142	0.127	22.8-41.1-2.5-6.6-14.2-12.7
212	LTNC108	[WRC381-001]	19	35.2568349	-82.9362342	Pinhook Creek (below falls)	0.004	0.402	0.005	0.007	0.01	0.572	0.4-40.2-0.5-0.7-1-57.2
213	LTNC109	[D901-001]	35	35.289958	-83.293475	Bettys Branch	0.003	0.005	0.003	0.003	0.004	0.982	0.3-0.5-0.3-0.3-0.4-98.2
214	LTNC11	[WRC293-001]	20	35.1970383	-82.9847656	Bracken Creek	0.525	0.253	0.036	0.125	0.039	0.023	52.5-25.3-3.6-12.5-3.9-2.3
215	LTNC110	[D902-001]	20	35.282125	-83.265064	Tatham Creek	0.009	0.012	0.003	0.003	0.005	0.967	0.9-1.2-0.3-0.3-0.5-96.7
216	LTNC111	[D903-001]	30	35.248756	-83.267727	Shell Branch	0.008	0.008	0.003	0.004	0.004	0.971	0.8-0.8-0.3-0.4-0.4-97.1
217	LTNC112	[D906-001]	39	35.302122	-83.372431	Huckleberry Creek	0.013	0.014	0.004	0.004	0.01	0.955	1.3-1.4-0.4-0.4-1-95.5
218	LTNC113	[D907-001]	36	35.302543	-83.341682	Beasley Creek	0.069	0.004	0.005	0.004	0.005	0.913	6.9-0.4-0.5-0.4-0.5-91.3
219	LTNC12	[WRC295-001]	20	35.2826209	-82.9853557	Charley Creek	0.069	0.019	0.025	0.071	0.021	0.796	6.9-1.9-2.5-7.1-2.1-79.6
220	LTNC13	[WRC296-001]	20	35.2201	-82.95806	Cold Creek	0.468	0.039	0.032	0.062	0.031	0.368	46.8-3.9-3.2-6.2-3.1-36.8
221	LTNC14	[WRC302-001]	20	35.2028632	-83.1893383	Gem Creek	0.184	0.021	0.03	0.03	0.011	0.724	18.4-2.1-3-3-1.1-72.4
222	LTNC15	[WRC306-001]	20	35.2788805	-83.0250111	Jeff Creek	0.003	0.016	0.003	0.004	0.007	0.967	0.3-1.6-0.3-0.4-0.7-96.7
223	LTNC16	[WRC308-001]	20	35.2016225	-83.2125065	Little Pine Creek	0.504	0.007	0.006	0.016	0.008	0.459	50.4-0.7-0.6-1.6-0.8-45.9
224	LTNC17	[WRC310-001]	20	35.2564608	-83.1336517	Mill Creek	0.103	0.012	0.012	0.05	0.013	0.81	10.3-1.2-1.2-5-1.3-81
225	LTNC18	[WRC311-001]	20	35.167814	-83.1852347	Mill Creek	0.527	0.013	0.006	0.011	0.011	0.431	52.7-1.3-0.6-1.1-1.1-43.1
226	LTNC19	[WRC318-001]	20	35.2766748	-83.0144098	Sols Creek	0.371	0.021	0.012	0.032	0.013	0.552	37.1-2.1-1.2-3.2-1.3-55.2
227	LTNC2	[NC02-001]	42	35.48692	-83.18631	Soco Creek	0.003	0.006	0.002	0.004	0.006	0.979	0.3-0.6-0.2-0.4-0.6-97.9
229	LTNC21	[WRC322-001]	20	35.2096888	-83.1164218	Trout Creek	0.746	0.032	0.051	0.116	0.018	0.037	74.6-3.2-5.1-11.6-1.8-3.7
230	LTNC22	[WRC119-001]	20	35.2551992	-83.5906381	UT Otter Creek	0.015	0.033	0.014	0.014	0.021	0.903	1.5-3.3-1.4-1.4-2.1-90.3
231	LTNC23	[WRC022-001]	20	35.254525	-83.966819	(C) Sassafras Creek (incl. trib.)	0.004	0.009	0.004	0.004	0.055	0.923	0.4-0.9-0.4-0.4-5.5-92.3
232	LTNC24	[WRC120-001]	20	35.023508	-83.487356	Yellow Patch Branch	0.165	0.136	0.018	0.126	0.134	0.42	16.5-13.6-1.8-12.6-13.4-42
233	LTNC25	[WRC023-001]	20	35.2455342	-83.8856125	Bear Creek	0.01	0.006	0.004	0.005	0.008	0.967	1-0.6-0.4-0.5-0.8-96.7
234	LTNC26	[WRC025-001]	20	35.3259869	-83.9640204	Wright Creek	0.092	0.007	0.004	0.021	0.463	0.413	9.2-0.7-0.4-2.1-46.3-41.3
235	LTNC27	[NC04-001]	40	35.5288	-83.1922	Madcap Branch	0.003	0.004	0.003	0.003	0.007	0.981	0.3-0.4-0.3-0.3-0.7-98.1
236	LTNC28	[NC05-001]	39	35.4902	-83.2151	Jenkin's Creek	0.037	0.011	0.006	0.013	0.026	0.906	3.7-1.1-0.6-1.3-2.6-90.6
237	LTNC29	[NC06-001]	24	35.4995	-83.1746	Rough Branch	0.121	0.011	0.003	0.009	0.014	0.843	12.1-1.1-0.3-0.9-1.4-84.3
238	LTNC3	[NC03-001]	40	35.52025	-83.22418	Big Witch Creek	0.083	0.009	0.003	0.01	0.019	0.876	8.3-0.9-0.3-1-1.9-87.6
240	LTNC31	[WRC376-001]	40	35.26218	-84.04492	Tellico River	0.005	0.009	0.007	0.004	0.042	0.933	0.5-0.9-0.7-0.4-4.2-93.3
241	LTNC32	[WRC377-001]	34	35.25168	-84.0299	Round Mountain Branch	0.008	0.007	0.013	0.005	0.045	0.922	0.8-0.7-1.3-0.5-4.5-92.2
242	LTNC33	[WRC378-001]	31	35.27757	-83.99892	Snowbird Creek	0.015	0.016	0.009	0.009	0.023	0.927	1.5-1.6-0.9-0.9-2.3-92.7
245	LTNC36	[WRC384-001]	28	35.384962	-83.079766	Dark Ridge Creek	0.076	0.01	0.004	0.022	0.01	0.879	7.6-1-0.4-2.2-1-87.9
246	LTNC37	[WRC109-001]	19	35.39795	-83.993239	Slickrock Creek	0.113	0.006	0.006	0.017	0.008	0.851	11.3-0.6-0.6-1.7-0.8-85.1
247	LTNC38	[WRC100-001]	20	35.051127	-83.4433848	Henson Creek	0.1	0.01	0.029	0.067	0.017	0.777	10-1-2.9-6.7-1.7-77.7
248	LTNC39	[WRC103-001]	20	35.3365644	-83.4061966	Little Laurel Creek (trib. of Alarka Cr.)	0.006	0.003	0.003	0.003	0.004	0.982	0.6-0.3-0.3-0.3-0.4-98.2
250	LTNC40	[WRC105-001]	20	35.0812545	-83.2460064	Long Branch	0.647	0.025	0.009	0.032	0.01	0.278	64.7-2.5-0.9-3.2-1-27.8
251	LTNC41	[WRC107-001]	20	35.2703011	-84.0475248	Peckerwood Creek	0.016	0.006	0.006	0.006	0.018	0.948	1.6-0.6-0.6-0.6-1.8-94.8
252	LTNC42	[WRC110-001]	20	35.0512067	-83.2553861	Turtle Pond Creek	0.348	0.005	0.007	0.083	0.01	0.547	34.8-0.5-0.7-8.3-1-54.7
253	LTNC43	[WRC114-001]	20	35.032742	-83.436394	UT to Coweeta Creek (near Reynolds Gap)	0.003	0.004	0.004	0.005	0.006	0.978	0.3-0.4-0.4-0.5-0.6-97.8
254	LTNC44	[WRC115-001]	20	35.2175734	-83.2342281	Wildcat Creek	0.202	0.006	0.004	0.023	0.014	0.75	20.2-0.6-0.4-2.3-1.4-75
256	LTNC46	[WRC118-001]	20	35.249133	-83.669244	Pierce Creek ( also listed as Piercy Creek)	0.051	0.173	0.007	0.223	0.324	0.222	5.1-17.3-0.7-22.3-32.4-22.2
257	LTNC47	[WRC267-001]	20	35.382	-83.12	(A) South Fork Sugarloaf Creek	0.004	0.003	0.003	0.003	0.004	0.983	0.4-0.3-0.3-0.3-0.4-98.3
259	LTNC49	[WRC269-001]	19	35.388	-83.126	(A) UT Sugarloaf Creek	0.048	0.003	0.003	0.003	0.004	0.939	4.8-0.3-0.3-0.3-0.4-93.9
270	LTNC58	[WRC282-001]	20	35.3280919	-83.0582684	(D) Chastine Creek (incl. tribs.)	0.003	0.004	0.003	0.004	0.004	0.982	0.3-0.4-0.3-0.4-0.4-98.2
271	LTNC59	[WRC283-001]	20	35.347	-83.054	(D) Craig Creek	0.003	0.005	0.003	0.003	0.004	0.982	0.3-0.5-0.3-0.3-0.4-98.2
272	LTNC6	[WRC101-001]	20	35.1570048	-83.2625388	Ledford Branch	0.385	0.002	0.003	0.005	0.004	0.601	38.5-0.2-0.3-0.5-0.4-60.1
273	LTNC60	[WRC284-001]	20	35.3360411	-83.05636282	(D) Frady Creek	0.004	0.004	0.003	0.004	0.004	0.981	0.4-0.4-0.3-0.4-0.4-98.1
275	LTNC62	[WRC299-001]	20	35.4191386	-83.1907797	Fisher Creek	0.004	0.005	0.004	0.005	0.005	0.978	0.4-0.5-0.4-0.5-0.5-97.8
276	LTNC63	[WRC304-002]	19	35.333816	-83.3062694	Greens Creek	0.157	0.003	0.004	0.004	0.005	0.827	15.7-0.3-0.4-0.4-0.5-82.7
277	LTNC64	[WRC305-001]	20	35.2200232	-83.1506208	Hunter Jim Creek	0.005	0.011	0.005	0.021	0.013	0.945	0.5-1.1-0.5-2.1-1.3-94.5
279	LTNC66	[WRC309-001]	20	35.2171902	-83.1048686	Little Trout Creek	0.039	0.014	0.013	0.023	0.068	0.843	3.9-1.4-1.3-2.3-6.8-84.3
280	LTNC67	[WRC312-001]	20	35.2339737	-83.0196683	Neddie Creek	0.016	0.014	0.007	0.01	0.009	0.944	1.6-1.4-0.7-1-0.9-94.4
281	LTNC68	[WRC319-001]	20	35.2847512	-82.9434836	Tanassee Creek	0.003	0.043	0.007	0.005	0.006	0.936	0.3-4.3-0.7-0.5-0.6-93.6
282	LTNC69	[WRC323-001]	20	35.3482953	-83.1325927	Wayehutta Creek	0.022	0.063	0.004	0.009	0.009	0.893	2.2-6.3-0.4-0.9-0.9-89.3
283	LTNC7	[WRC106-001]	20	35.0980559	-83.1887634	Norton Prong	0.688	0.023	0.007	0.073	0.017	0.192	68.8-2.3-0.7-7.3-1.7-19.2
284	LTNC70	[WRC366-001]	20	35.24075	-83.582694	Big Branch	0.005	0.142	0.004	0.005	0.05	0.794	0.5-14.2-0.4-0.5-5-79.4
285	LTNC71	[WRC369-001]	20	35.3657942	-83.0204091	Mull Creek	0.044	0.096	0.013	0.036	0.121	0.69	4.4-9.6-1.3-3.6-12.1-69
286	LTNC72	[WRC024-001]	20	35.328906	-84.016292	Whigg Branch	0.654	0.101	0.011	0.033	0.03	0.171	65.4-10.1-1.1-3.3-3-17.1
290	LTNC76	[WRC116-001]	20	35.039192	-83.574072	Buck Creek	0.076	0.043	0.037	0.176	0.245	0.423	7.6-4.3-3.7-17.6-24.5-42.3
291	LTNC77	[WRC278-001]	20	35.35	-83.088	(C) East Fork Moses	0.006	0.014	0.008	0.012	0.007	0.954	0.6-1.4-0.8-1.2-0.7-95.4
292	LTNC78	[WRC279-001]	20	35.3312291	-83.1007775	(C) Moses Creek	0.004	0.013	0.003	0.006	0.007	0.967	0.4-1.3-0.3-0.6-0.7-96.7
293	LTNC79	[WRC280-001]	20	35.338	-83.098	(C) Moses Creek	0.005	0.012	0.003	0.007	0.006	0.967	0.5-1.2-0.3-0.7-0.6-96.7
294	LTNC8	[WRC111-001]	20	35.3374603	-83.3784729	Upper Long Branch	0.041	0.004	0.003	0.008	0.007	0.937	4.1-0.4-0.3-0.8-0.7-93.7
296	LTNC81	[WRC285-001]	20	35.3300556	-83.0012443	(F) Bearwallow Creek (including tribs.)	0.341	0.054	0.061	0.15	0.029	0.366	34.1-5.4-6.1-15-2.9-36.6
297	LTNC82	[WRC286-001]	20	35.332	-82.999	(F) Birch Ridge Creek	0.06	0.068	0.061	0.089	0.267	0.456	6-6.8-6.1-8.9-26.7-45.6
298	LTNC83	[WRC287-001]	20	35.179	-83.076	(G) Cow Mountain Branch	0.445	0.388	0.027	0.09	0.031	0.018	44.5-38.8-2.7-9-3.1-1.8
299	LTNC84	[WRC288-001]	20	35.186	-83.078	(G) Mill Creek	0.562	0.21	0.016	0.045	0.139	0.028	56.2-21-1.6-4.5-13.9-2.8
300	LTNC85	[WRC289-001]	20	35.176	-83.061	(G) Packs Creek	0.588	0.349	0.012	0.012	0.024	0.016	58.8-34.9-1.2-1.2-2.4-1.6
301	LTNC86	[WRC290-001]	20	35.183	-83.082	(G) Shelton Creek	0.717	0.165	0.016	0.018	0.053	0.031	71.7-16.5-1.6-1.8-5.3-3.1
302	LTNC87	[WRC291-001]	20	35.2644016	-83.0185048	(H) Sols Creek	0.013	0.014	0.012	0.045	0.023	0.892	1.3-1.4-1.2-4.5-2.3-89.2
303	LTNC88	[WRC292-001]	20	35.3523882	-83.0155009	Beechflat Creek	0.842	0.009	0.05	0.073	0.02	0.006	84.2-0.9-5-7.3-2-0.6
305	LTNC9	[WRC112-001]	20	35.1334328	-83.2059302	UT Buck Creek	0.011	0.004	0.005	0.004	0.006	0.971	1.1-0.4-0.5-0.4-0.6-97.1
306	LTNC90	[WRC297-001]	20	35.2186559	-83.2097509	Dodgen Creek	0.537	0.008	0.006	0.017	0.01	0.422	53.7-0.8-0.6-1.7-1-42.2
307	LTNC91	[WRC300-001]	20	35.2204377	-83.0327662	Flat Creek	0.101	0.715	0.017	0.04	0.106	0.021	10.1-71.5-1.7-4-10.6-2.1
308	LTNC92	[WRC301-001]	20	35.2883362	-82.9733704	Gage Creek	0.712	0.02	0.011	0.041	0.064	0.152	71.2-2-1.1-4.1-6.4-15.2
309	LTNC93	[WRC313-001]	20	35.3235915	-82.9913537	Piney Mountain Creek	0.242	0.036	0.053	0.033	0.295	0.341	24.2-3.6-5.3-3.3-29.5-34.1
310	LTNC94	[WRC314-001]	20	35.2568349	-82.9362342	Pinhook Creek	0.092	0.287	0.007	0.018	0.016	0.579	9.2-28.7-0.7-1.8-1.6-57.9
311	LTNC95	[WRC315-001]	20	35.2488885	-83.2674832	Shell Branch	0.005	0.004	0.003	0.004	0.004	0.98	0.5-0.4-0.3-0.4-0.4-98
313	LTNC97	[WRC317-001]	20	35.2007229	-83.0039466	Slickens Creek	0.723	0.021	0.04	0.123	0.067	0.026	72.3-2.1-4-12.3-6.7-2.6
314	LTNC98	[WRC320-001]	19	35.2802563	-83.2630471	Tatham Creek	0.09	0.005	0.005	0.004	0.006	0.891	9-0.5-0.5-0.4-0.6-89.1
315	LTNC99	[WRC324-004]	15	35.2665208	-82.9695989	Wolf Creek	0.218	0.057	0.035	0.109	0.073	0.508	21.8-5.7-3.5-10.9-7.3-50.8
316	MPPS1	[LR_2013_211]	29	35.598205	-83.501998	Meigs Post Prong Site 1	0.003	0.983	0.003	0.003	0.004	0.004	0.3-98.3-0.3-0.3-0.4-0.4
317	MPPS2	[LR_2013_240]	31	35.594744	-83.49822	Meigs Post Prong Site 2	0.003	0.968	0.013	0.003	0.01	0.003	0.3-96.8-1.3-0.3-1-0.3
318	PFBNC1	[NC01-001]	42	35.46629	-83.04172	Hyatt Cove Creek	0.004	0.014	0.003	0.006	0.089	0.884	0.4-1.4-0.3-0.6-8.9-88.4
319	PFBNC10	[WRC246-001]	20	35.4136987	-83.0132106	Old Bald Creek	0.026	0.039	0.008	0.007	0.91	0.01	2.6-3.9-0.8-0.7-91-1
320	PFBNC100	[WRC217-001]	20	35.721547	-82.254889	Right Prong South Toe River	0.534	0.063	0.026	0.014	0.214	0.148	53.4-6.3-2.6-1.4-21.4-14.8
321	PFBNC101	[WRC219-001]	19	35.76075	-82.192601	Roaring Fork	0.107	0.27	0.017	0.035	0.381	0.19	10.7-27-1.7-3.5-38.1-19
322	PFBNC102	[WRC222-001]	20	36.1015896	-82.0403139	Sandbank Creek	0.61	0.007	0.007	0.008	0.351	0.017	61-0.7-0.7-0.8-35.1-1.7
324	PFBNC104	[WRC225-001]	20	36.136075	-82.221978	Spring Creek	0.448	0.013	0.005	0.006	0.519	0.009	44.8-1.3-0.5-0.6-51.9-0.9
325	PFBNC105	[WRC226-001]	20	36.0048744	-82.0796566	Stagger Weed Creek	0.419	0.014	0.011	0.021	0.53	0.004	41.9-1.4-1.1-2.1-53-0.4
326	PFBNC106	[WRC227-001]	20	35.8172014	-82.1783762	UT Little White Oak Creek	0.348	0.123	0.014	0.044	0.341	0.131	34.8-12.3-1.4-4.4-34.1-13.1
327	PFBNC107	[WRC235-001]	20	35.511961	-83.0311825	Gaddis Branch	0.062	0.03	0.009	0.013	0.865	0.021	6.2-3-0.9-1.3-86.5-2.1
328	PFBNC108	[WRC236-001]	20	35.5658324	-83.08157727	Hemphill Branch	0.065	0.118	0.005	0.01	0.639	0.162	6.5-11.8-0.5-1-63.9-16.2
329	PFBNC109	[WRC242-001]	20	35.439484	-82.9913905	Medford Branch	0.135	0.009	0.032	0.064	0.015	0.746	13.5-0.9-3.2-6.4-1.5-74.6
330	PFBNC11	[WRC250-001]	20	35.4082192	-83.9945695	Shiny Creek	0.005	0.08	0.017	0.01	0.877	0.011	0.5-8-1.7-1-87.7-1.1
331	PFBNC110	[WRC245-001]	20	35.4113281	-83.016928	Old Bald Creek	0.032	0.06	0.014	0.015	0.869	0.01	3.2-6-1.4-1.5-86.9-1
332	PFBNC111	[WRC249-001]	15	35.335311	-82.889639	Sam Branch	0.984	0.003	0.003	0.005	0.003	0.003	98.4-0.3-0.3-0.5-0.3-0.3
333	PFBNC112	[WRC254-001]	20	35.458564	-83.085531	Winchester Creek	0.004	0.02	0.003	0.005	0.957	0.011	0.4-2-0.3-0.5-95.7-1.1
334	PFBNC113	[WRC026-001]	20	36.016006	-82.684572	(A) East Prong Hickey Fork	0.475	0.044	0.012	0.038	0.144	0.286	47.5-4.4-1.2-3.8-14.4-28.6
335	PFBNC114	[WRC027-001]	20	35.4315423	-82.6826226	(B) Fletcher Creek	0.093	0.847	0.007	0.02	0.009	0.024	9.3-84.7-0.7-2-0.9-2.4
336	PFBNC115	[WRC028-001]	20	35.4346241	-82.68400165	(B) Spencer Branch	0.04	0.925	0.007	0.008	0.006	0.015	4-92.5-0.7-0.8-0.6-1.5
340	PFBNC119	[WRC326-001]	20	36.1950526	-81.9551761	Fall Creek	0.98	0.003	0.007	0.005	0.003	0.002	98-0.3-0.7-0.5-0.3-0.2
342	PFBNC120	[WRC327-001]	19	36.1854005	-81.7095864	Harrison Branch	0.061	0.067	0.035	0.009	0.701	0.127	6.1-6.7-3.5-0.9-70.1-12.7
345	PFBNC123	[WRC330-001]	20	36.196714	-81.7076549	Laurel Fork	0.129	0.048	0.024	0.014	0.767	0.019	12.9-4.8-2.4-1.4-76.7-1.9
346	PFBNC125	[WRC339-001]	20	36.2149634	-81.8216606	Worley Creek	0.211	0.039	0.005	0.01	0.724	0.012	21.1-3.9-0.5-1-72.4-1.2
347	PFBNC126	[WRC036-001]	19	35.1531241	-82.8544272	(K) Diamond Creek (above falls)	0.208	0.531	0.015	0.035	0.117	0.093	20.8-53.1-1.5-3.5-11.7-9.3
348	PFBNC127	[WRC037-001]	19	35.148	-82.841	(K) Diamond Creek (below falls)	0.536	0.403	0.006	0.02	0.015	0.02	53.6-40.3-0.6-2-1.5-2
353	PFBNC131	[WRC043-001]	20	35.317274	-82.7989204	Big Bearpen Branch	0.324	0.607	0.025	0.014	0.021	0.008	32.4-60.7-2.5-1.4-2.1-0.8
354	PFBNC132	[WRC044-001]	20	35.1263498	-82.7254991	Bradley Creek	0.591	0.205	0.018	0.108	0.054	0.024	59.1-20.5-1.8-10.8-5.4-2.4
357	PFBNC135	[WRC047-001]	19	35.2452798	-82.8250315	Cathys Creek (above falls)	0.77	0.167	0.027	0.015	0.013	0.009	77-16.7-2.7-1.5-1.3-0.9
358	PFBNC136	[WRC048-001]	20	35.2279072	-82.8089636	Cedar Rock Creek	0.517	0.448	0.015	0.009	0.005	0.005	51.7-44.8-1.5-0.9-0.5-0.5
360	PFBNC138	[WRC054-001]	20	35.1953627	-82.7006818	Hogsed Creek	0.402	0.557	0.004	0.022	0.009	0.007	40.2-55.7-0.4-2.2-0.9-0.7
361	PFBNC139	[WRC055-001]	20	35.2269765	-82.8036075	Kagle Branch	0.264	0.683	0.011	0.014	0.019	0.008	26.4-68.3-1.1-1.4-1.9-0.8
362	PFBNC14	[WRC086-001]	20	35.3011132	-82.7014008	North Prong Turkey Creek	0.003	0.98	0.004	0.004	0.006	0.003	0.3-98-0.4-0.4-0.6-0.3
363	PFBNC140	[WRC056-001]	19	35.2453111	-82.7890818	Kuykendall Creek	0.971	0.003	0.004	0.014	0.004	0.003	97.1-0.3-0.4-1.4-0.4-0.3
364	PFBNC141	[WRC058-001]	20	35.3211685	-82.8026481	Log Hollow Branch	0.924	0.009	0.004	0.036	0.006	0.021	92.4-0.9-0.4-3.6-0.6-2.1
365	PFBNC142	[WRC059-001]	20	35.3240283	-82.7897053	Looking Glass Creek	0.654	0.229	0.012	0.015	0.042	0.049	65.4-22.9-1.2-1.5-4.2-4.9
366	PFBNC144	[WRC067-001]	20	35.3017378	-82.803234	Rockhouse Creek	0.954	0.002	0.013	0.025	0.003	0.003	95.4-0.2-1.3-2.5-0.3-0.3
367	PFBNC145	[WRC068-001]	20	35.5621703	-82.3555376	Rocky Fork	0.951	0.005	0.006	0.016	0.009	0.012	95.1-0.5-0.6-1.6-0.9-1.2
370	PFBNC148	[WRC071-001]	20	35.3216175	-82.6885368	Sutton Creek	0.694	0.209	0.01	0.043	0.031	0.012	69.4-20.9-1-4.3-3.1-1.2
371	PFBNC149	[WRC072-001]	20	35.2333527	-82.8211449	Tarkiln Branch	0.383	0.476	0.042	0.043	0.03	0.027	38.3-47.6-4.2-4.3-3-2.7
374	PFBNC152	[WRC077-001]	20	35.3352984	-82.8026901	UT Looking Glass Creek (@ Bennet Cove)	0.581	0.282	0.013	0.025	0.065	0.034	58.1-28.2-1.3-2.5-6.5-3.4
377	PFBNC155	[WRC080-001]	20	35.3387483	-82.7923259	UT to Looking Glass Creek (@ Cherry Cove)	0.666	0.216	0.008	0.016	0.047	0.046	66.6-21.6-0.8-1.6-4.7-4.6
378	PFBNC156	[WRC081-001]	20	35.148281	-82.594131	Wildcat Branch	0.384	0.548	0.009	0.019	0.032	0.008	38.4-54.8-0.9-1.9-3.2-0.8
379	PFBNC157	[WRC084-001]	20	35.2791541	-82.88750234	Chestnut Creek	0.33	0.593	0.007	0.012	0.051	0.008	33-59.3-0.7-1.2-5.1-0.8
380	PFBNC158	[D712-001]	86	36.1187367	-81.785994	Boone Fork	0.003	0.002	0.006	0.003	0.982	0.004	0.3-0.2-0.6-0.3-98.2-0.4
381	PFBNC159	[D904-001]	48	35.65536	-82.41322	Left Fork Beetree Creek	0.002	0.981	0.003	0.003	0.006	0.005	0.2-98.1-0.3-0.3-0.6-0.5
382	PFBNC16	[WRC088-001]	20	35.720176	-82.8363434	UT Friezland Creek	0.067	0.112	0.007	0.03	0.775	0.009	6.7-11.2-0.7-3-77.5-0.9
383	PFBNC160	[D905-001]	40	35.66236	-82.29021	Flat Creek	0.003	0.95	0.005	0.006	0.008	0.028	0.3-95-0.5-0.6-0.8-2.8
384	PFBNC161	[D908-001]	40	35.72633	-82.33578	North Fork Swannanoa River	0.003	0.981	0.005	0.004	0.004	0.004	0.3-98.1-0.5-0.4-0.4-0.4
386	PFBNC17	[WRC089-001]	20	35.1317496	-82.633079	Walker Branch	0.635	0.276	0.025	0.017	0.039	0.008	63.5-27.6-2.5-1.7-3.9-0.8
388	PFBNC19	[WRC050-001]	20	35.2919502	-82.815768	Cove Creek	0.003	0.985	0.003	0.003	0.004	0.003	0.3-98.5-0.3-0.3-0.4-0.3
389	PFBNC21	[WRC238-001]	20	35.520511	-83.1329804	Indian Creek	0.004	0.026	0.004	0.007	0.929	0.03	0.4-2.6-0.4-0.7-92.9-3
391	PFBNC23	[WRC034-001]	20	35.1911007	-82.8208899	(J) Sawmill Creek (above falls)	0.005	0.945	0.022	0.01	0.014	0.004	0.5-94.5-2.2-1-1.4-0.4
392	PFBNC24	[WRC371-001]	20	35.088828	-82.756712	South Prong Glady Fork	0.132	0.648	0.052	0.113	0.048	0.007	13.2-64.8-5.2-11.3-4.8-0.7
393	PFBNC25	[WRC372-001]	20	35.089306	-82.741648	Jane Cantrell Creek	0.026	0.867	0.023	0.049	0.03	0.006	2.6-86.7-2.3-4.9-3-0.6
394	PFBNC26	[WRC373-001]	20	35.108285	-82.701368	Hickory Flat Creek	0.984	0.003	0.003	0.004	0.003	0.003	98.4-0.3-0.3-0.4-0.3-0.3
396	PFBNC28	[WRC382-001]	20	35.120125	-82.75003	Laurel Branch (Murr Creek) Above Falls	0.27	0.53	0.041	0.076	0.076	0.008	27-53-4.1-7.6-7.6-0.8
398	PFBNC3	[WRC064-001]	20	35.3536568	-82.7777478	Pigeon Branch	0.849	0.076	0.009	0.009	0.013	0.044	84.9-7.6-0.9-0.9-1.3-4.4
400	PFBNC31	[WRC042-001]	20	35.462239	-82.689914	Beaverdam Creek	0.004	0.964	0.005	0.01	0.006	0.011	0.4-96.4-0.5-1-0.6-1.1
401	PFBNC32	[WRC051-001]	20	35.1232614	-82.7047303	East Fork French Broad River	0.036	0.85	0.052	0.038	0.018	0.005	3.6-85-5.2-3.8-1.8-0.5
403	PFBNC34	[WRC057-001]	19	35.361242	-82.683317	Laurel Creek	0.037	0.841	0.012	0.014	0.039	0.057	3.7-84.1-1.2-1.4-3.9-5.7
